"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen","Modelskizze"
"Grace Bodice","Gertie Patreon","Society of Charm","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/grace-bodice/","https://charmpatterns.com/wp-content/uploads/2025/01/11_Pink-Grace-Dress_1001-1-247x296.jpg","",""
"Holly Bodice Backs","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/holly-bodice-backs/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_0483-247x296.jpg","",""
"Hollywood Dress","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/hollywood-dress-and-skirt/","https://enibas-gh.github.io/Schnittmuster/bilder/Hollywood_Dress.jpg","",""
"Hollywood Robe","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/hollywood-robe/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_4048-without-chaldboard-247x296.jpg","",""
"Homecoming Skirt","Gertie Patreon","Charm School","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/homecoming-skirt/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_6720-2-247x296.jpg","",""
"Honor Roll Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/honor-roll-top/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_5823-247x296.jpg","",""
"Ingrid Skirt","Gertie Patreon","Stanwyck Series","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/ingrid-skirt/","https://charmpatterns.com/wp-content/uploads/2025/05/HR_DSC_5791-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/IngridSkirt_Skizze.jpg"
"Jasmin Jumpsuit","Gertie Patreon","Charm Artist Collective 2022","Damen","Einteiler","Jumpsuit","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/jasmin-jumpsuit/","https://charmpatterns.com/wp-content/uploads/2025/01/DSC04339-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/JasminJumpsuit_Skizze.jpg"
"Jeanne Gloves","Gertie Patreon","Charm Artist Collective 2022","Damen","Accessoires","Handschuhe","Spitze","XS–XL","PDF","Vorhanden","https://charmpatterns.com/shop/jeanne-gloves/","https://charmpatterns.com/wp-content/uploads/2025/01/Look-02_067-247x296.jpg","",""
"Joan Wiggle Dress","Gertie Patreon","Charm Artist Collective 2022","Damen","Kleid","Kleid","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/joan-wiggle-dress/","https://charmpatterns.com/wp-content/uploads/2025/01/Charm-December-290-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/JoanWiggleDress_Skizze.jpg"
